ID_Original|ID_Required
ESPE 6620|ESPE 6609
ESPE 6620|ESPE 6636
ESPE 6620|ESPE 6634
ESPE 6620|ESPE 6636
ESPE 6621|ESPE 6609
ESPE 6621|ESPE 6636
ESPE 6621|ESPE 6634
ESPE 6621|ESPE 6636
ESPE 6631|ESPE 5530
ESPE 6631|ESPE 5531
ESPE 6632|ESPE 5530
ESPE 6632|ESPE 5531
ESPE 6635|ESPE 5530
ESPE 6635|ESPE 5531
ESPE 6635|ESPE 5532
ESPE 6635|ESPE 6631
ESPE 6635|ESPE 6636
ESPE 6635|ESPE 6636
ESPE 6637|ESPE 5530
ESPE 6637|ESPE 5531
ESPE 6637|ESPE 6638
ESPE 6639|ESPE 5530
ESPE 6639|ESPE 5531
ESPE 6639|ESPE 6631
ESPE 6639|ESPE 6632
ESPE 6643|ESPE 6642
ESPE 6662|ESPE 5532
ESPE 6662|ESPE 6631
ESPE 6662|ESPE 6632
ESPE 6662|ESPE 6633
ESPE 6662|ESPE 6635
ESPE 6663|ESPE 5532
ESPE 6663|ESPE 6631
ESPE 6663|ESPE 6632
ESPE 6663|ESPE 6633
ESPE 6663|ESPE 6635
ESPE 6663|ESPE 6662
ESPE 6672|ESPE 6610
ESPE 6673|ESPE 6610
ESPE 6980|ESPE 6665
ENG 1060|ENG 1050
ENG 1060|ENG 1050
ENG 1060|ENG 1060
ENG 1060|ENG 1050
ENG 1060|ENG 1050
ENG 1060|ENG 1060
ENG 5230|ENG 3110
ENG 5230|ENG 3220
ENG 5240|ENG 3110
ENG 5260|ENG 3110
ENG 6620|ENG 6000
ENG 6620|ENG 6120
ENG 6620|ENG 6150
ENTR 6230|ENTR 6210
FIN 3001|MATH 1301
FIN 3001|MATH 1401
FIN 3001|MATH 1601
FIN 3001|MATH 2210
FIN 3001|ACCT 2120
FIN 3001|ADMN 2100
FIN 3002|FIN 3001
FIN 3002|FIN 3001
FIN 3800|FIN 3001
FIN 3850|FIN 3800
FIN 4200|FIN 3001
FIN 4320|FIN 3001
FIN 4320|FIN 3002
FIN 4330|FIN 3001
FIN 4450|FIN 3002
FIN 4800|FIN 3800
FIN 4810|FIN 3800
FIN 4820|FIN 3800
FIN 4850|FIN 3800
FIN 5230|FIN 3001
FIN 5230|FIN 6020
FIN 5270|FIN 3001
FIN 5270|FIN 3002
FIN 5270|FIN 6020
FIN 5460|FIN 3001
FIN 5753|FIN 5753
FIN 5850|FIN 3001
FIN 5850|FIN 6020
FIN 5850|FIN 3800
FIN 5860|FIN 3800
FIN 5880|FIN 3800
FIN 6220|FIN 6020
FIN 6510|FIN 6020
FIN 6530|FIN 6020
FIN 6540|FIN 6020
FIN 6775|FIN 6774
FIN 6776|FIN 6775
FIN 6776|FIN 5300
FIN 6777|FIN 6776
FIN 6777|FIN 5350
FIN 6778|FIN 6776
FIN 6779|FIN 6776
FIN 6780|FIN 6776
FIN 6780|FIN 5270
FIN 6800|FIN 6020
FREN 1112|FREN 1111
FREN 2111|FREN 1112
FREN 2111|FREN 1151
FREN 2112|FREN 1112
FREN 2112|FREN 1151
FREN 2113|FREN 1112
FREN 2113|FREN 1151
FREN 2114|FREN 1112
FREN 2114|FREN 1151
FREN 3000|FREN 2111
FREN 3000|FREN 2112
FREN 3000|FREN 2113
FREN 3000|FREN 2114
FREN 3111|FREN 3000
FREN 3112|FREN 3000
FREN 3113|FREN 3000
FREN 3114|FREN 3000
FREN 3150|FREN 3000
FREN 3160|FREN 3000
FREN 3320|FREN 3000
FREN 3550|FREN 3000
FREN 3961|FREN 3960
FREN 3961|FREN 3960
FREN 4150|FREN 3000
FREN 4250|FREN 3000
FREN 4450|FREN 3000
FREN 4550|FREN 3000
GEOG 3004|GEOG 1030
GEOG 3004|GEOG 2249
GEOG 3300|GEOG 1030
GEOG 3300|GEOL 1000
GEOG 3710|GEOG 2250
GEOG 3730|GEOG 2250
GEOG 4250|GEOG 1030
GEOG 4300|BIOL 1000
GEOG 4300|GEOG 1030
GEOG 4300|GEOL 1000
GEOG 4300|GEOG 2250
GEOG 4360|GEOG 1030
GEOG 4360|GEOL 1000
GEOG 4400|GEOG 1030
GEOG 4400|GEOL 1000
GEOG 4860|GEOG 2250
GEOG 4870|GEOG 1030
GEOG 4870|GEOL 1000
GEOG 4870|HSCI 1200
GEOG 4870|GEOG 2250
GEOG 4880|GEOG 2250
GEOL 2500|GEOG 1030
GEOL 3030|BIOL 3030
GEOL 3030|GEOL 3030
GEOL 3100|GEOG 1030
GEOL 3200|GEOL 1000
GEOL 3200|GEOL 1000
GEOL 3200|CHEM 2050
GEOL 3200|CHEM 2100
GEOL 3200|CHEM 2050
GEOL 3200|CHEM 2100
GEOL 3200|GEOL 3200
GEOL 3220|GEOL 3200
GEOL 3240|GEOL 3200
GEOL 3400|GEOG 1030
GEOL 3400|BIOL 1000
GEOL 3500|GEOG 1030
GEOL 3500|BIOL 1000
GEOL 3500|CHEM 2050
GEOL 3600|PHYS 1000
GEOL 3600|PHYS 2000
GEOL 3600|PHYS 2500
GEOL 3700|GEOL 1000
GEOL 3700|GEOL 1060
GEOL 3700|GEOL 1020
GEOL 3750|GEOL 3700
GEOL 3902|GEOL 3901
GEOL 3903|GEOL 3901
GEOL 3904|GEOL 3901
GEOL 3906|GEOL 3901
GEOL 3990|GEOL 4000
GEOL 4000|GEOL 3990
GEOL 4200|GEOL 3600
GEOL 4800|GEOL 4000
GEOL 4900|GEOL 4000
GEOL 4900|GEOL 4000
GEOL 5000|GEOL 5000
GEOL 5000|GEOL 5000
GEOL 5220|GEOL 1000
GEOL 5220|GEOL 1000
GEOL 5220|GEOG 1030
GEOL 5220|GEOG 1030
GEOL 5220|GEOL 3100
GEOL 5220|GEOL 3600
GEOL 5240|GEOL 3240
GEOL 5260|GEOL 3240
GEOL 5280|GEOL 3100
GEOL 5300|GEOL 5300
GEOL 5300|BIOL 5300
GEOL 5420|CHEM 2200
GEOL 5420|MATH 2220
GEOL 5440|CHEM 2050
GEOL 5440|CHEM 2100
GEOL 5440|GEOL 3220
GEOL 5440|CHEM 2200
GEOL 5600|GEOL 3200
GEOL 6752|CHEM 5753
GEOL 6752|GEOL 5753
GEOL 6970|GEOL 6950
HSCI 1200|HSCI 1200
HSCI 3060|HSCI 1200
HSCI 3060|HSCI 1200
HSCI 3060|ECON 2201
HSCI 3060|ACCT 2110
HSCI 3060|HSCI 2203
HSCI 3200|HSCI 2200
HSCI 3291|HSCI 3291
HSCI 3522|HSCI 3522
HSCI 3558|HSCI 3052
HSCI 3601|CHEM 2060
HSCI 3601|CHEM 2060
HSCI 3601|BIOL 2230
HSCI 3602|HSCI 3601
HSCI 3602|HSCI 3607
HSCI 3602|HSCI 3607
HSCI 3607|HSCI 3601
HSCI 3607|MATH 1201
HSCI 3607|MATH 1203
HSCI 3607|HSCI 2203
HSCI 3607|HSCI 3205
HSCI 3607|HSCI 3602
HSCI 3607|HSCI 3607
HSCI 3615|CHEM 2050
HSCI 3615|CHEM 2050
HSCI 3615|HSCI 3615
HSCI 4036|HSCI 3040
HSCI 4036|HSCI 3060
HSCI 4037|HSCI 3040
HSCI 4037|HSCI 3060
HSCI 4055|HSCI 3040
HSCI 4055|HSCI 3060
